Rk,G#,Date,Tm,,Opp,Result,Pos,Att,Yds,TD,Tgt,Rec,Yds,TD,Att,Yds,TD,Tgt,Rec,Yds,TD,Num,Pct,Num,FantPt,DKPt,FDPt
1,3,9/27/15,STL,,PIT,L 6-12,RB,,,,,,,,,,,,,,,14,28.00%,0,1.4,2.4,1.9
2,4,10/4/15,STL,@,ARI,W 24-22,RB,3,-5,0,1,1,8,0,2,-5,0,0,0,0,0,36,67.90%,0,16.1,21.1,17.1
3,5,10/11/15,STL,@,GNB,L 10-24,RB,2,7,0,0,0,0,0,1,1,0,0,0,0,0,45,64.30%,0,15.9,18.9,15.9
4,6,10/25/15,STL,,CLE,W 24-6,RB,2,17,2,0,0,0,0,1,1,1,0,0,0,0,36,67.90%,0,28.3,35.3,30.3
5,7,11/1/15,STL,,SFO,W 27-6,RB,0,0,0,1,1,-2,0,0,0,0,1,1,-2,0,36,52.20%,0,20.6,26.6,22.1
6,8,11/8/15,STL,@,MIN,L 18-21,RB,2,6,1,0,0,0,0,2,6,1,0,0,0,0,58,78.40%,0,16.9,19.9,18.4
7,9,11/15/15,STL,,CHI,L 13-37,RB,3,13,1,0,0,0,0,1,6,1,0,0,0,0,31,49.20%,0,14.9,17.9,16.4
8,10,11/22/15,STL,@,BAL,L 13-16,RB,3,10,1,0,0,0,0,3,10,1,0,0,0,0,45,73.80%,0,10.6,11.6,10.6
9,11,11/29/15,STL,@,CIN,L 7-31,RB,1,8,0,0,0,0,0,0,0,0,0,0,0,0,29,39.70%,0,3,4,3.5
10,12,12/6/15,STL,,ARI,L 3-27,RB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,52.00%,0,4.1,4.1,4.1
11,13,12/13/15,STL,,DET,W 21-14,RB,3,26,2,0,0,0,0,1,5,1,0,0,0,0,30,54.50%,0,26.7,30.7,27.2
12,14,12/17/15,STL,,TAM,W 31-23,RB,6,8,1,0,0,0,0,4,5,1,0,0,0,0,34,65.40%,0,13.9,15.9,14.9
13,15,12/27/15,STL,@,SEA,W 23-17,HB,2,12,1,0,0,0,0,1,2,1,0,0,0,0,37,67.30%,0,15,16,15.5
1,1,9/12/16,LAR,@,SFO,L 0-28,HB,,,,,,,,,,,37,60.70%,0,0.00%,0,0.00%,4.2,5.2,4.7,
2,2,9/18/16,LAR,,SEA,W 9-3,HB,1,-4,0,0,0,0,0,1,-4,0,44,71.00%,0,0.00%,0,0.00%,7,8,7.5,
3,3,9/25/16,LAR,@,TAM,W 37-32,HB,7,23,2,0,0,0,0,5,6,2,52,80.00%,0,0.00%,0,0.00%,20,21,20.5,
4,4,10/2/16,LAR,@,ARI,W 17-13,HB,2,7,0,1,1,8,0,1,5,0,51,86.40%,0,0.00%,0,0.00%,8.2,13.2,10.7,
5,5,10/9/16,LAR,,BUF,L 19-30,HB,6,8,1,1,1,9,0,3,-2,1,55,83.30%,0,0.00%,0,0.00%,14.8,18.8,16.3,
6,6,10/16/16,LAR,@,DET,L 28-31,HB,4,7,0,2,2,21,0,2,-1,0,42,72.40%,0,0.00%,0,0.00%,9.7,13.7,11.7,
7,7,10/23/16,LAR,,NYG,L 10-17,HB,1,4,0,1,1,2,0,0,0,0,49,62.00%,0,0.00%,0,0.00%,9.2,15.2,12.2,
8,8,11/6/16,LAR,,CAR,L 10-13,RB,1,10,0,0,0,0,0,0,0,0,43,63.20%,0,0.00%,0,0.00%,7.4,11.4,9.4,
9,9,11/13/16,LAR,@,NYJ,W 9-6,HB,1,-2,0,0,0,0,0,1,-2,0,42,60.90%,0,0.00%,0,0.00%,7.2,8.2,7.7,
10,10,11/20/16,LAR,,MIA,L 10-14,HB,,,,,,,,,,,43,69.40%,0,0.00%,0,0.00%,13.6,13.6,13.6,
11,11,11/27/16,LAR,@,NOR,L 21-49,HB,,,,,,,,,,,34,64.20%,0,0.00%,0,0.00%,8.9,12.9,10.9,
12,12,12/4/16,LAR,@,NWE,L 10-26,HB,,,,,,,,,,,35,68.60%,0,0.00%,0,0.00%,4.7,6.7,5.7,
13,13,12/11/16,LAR,,ATL,L 14-42,RB,3,5,1,1,1,6,0,2,3,1,64,88.90%,0,0.00%,0,0.00%,14.3,17.3,15.8,
14,14,12/15/16,LAR,@,SEA,L 3-24,HB,2,4,0,0,0,0,0,1,0,0,51,85.00%,0,0.00%,0,0.00%,3.6,4.6,4.1,
15,15,12/24/16,LAR,,SFO,L 21-22,HB,4,13,1,0,0,0,0,4,13,1,50,84.70%,0,0.00%,0,0.00%,14.7,17.7,16.2,
16,16,1/1/17,LAR,,ARI,L 6-44,HB,1,-6,0,0,0,0,0,0,0,0,50,83.30%,0,0.00%,0,0.00%,7.7,11.7,9.7,
1,1,9/10/17,LAR,,IND,W 46-9,RB,1,5,1,0,0,0,0,1,5,1,0,0,0,0,48,73.80%,15.6,20.6,18.1,
2,2,9/17/17,LAR,,WAS,L 20-27,RB,3,4,1,1,1,18,1,2,1,1,0,0,0,0,44,88.00%,23.6,27.6,25.1,
3,3,9/21/17,LAR,@,SFO,W 41-39,RB,8,12,2,2,2,10,1,6,6,2,2,2,10,1,61,93.80%,32.9,40.9,35.4,
4,4,10/1/17,LAR,@,DAL,W 35-30,RB,3,0,0,1,1,7,0,1,2,0,0,0,0,0,55,79.70%,27.5,37.5,31,
5,5,10/8/17,LAR,,SEA,L 10-16,RB,1,11,0,0,0,0,0,0,0,0,0,0,0,0,56,75.70%,3,6,4,
6,6,10/15/17,LAR,@,JAX,W 27-17,RB,4,12,0,0,0,0,0,2,5,0,0,0,0,0,48,82.80%,12,16,12.5,
7,7,10/22/17,LAR,,ARI,W 33-0,RB,2,24,1,0,0,0,0,0,0,0,0,0,0,0,55,68.80%,21.4,28.4,23.4,
8,8,11/5/17,LAR,@,NYG,W 51-17,RB,8,11,2,0,0,0,0,6,2,2,0,0,0,0,40,62.50%,22.4,24.4,23.4,
9,9,11/12/17,LAR,,HOU,W 33-7,RB,2,-7,0,0,0,0,0,0,0,0,0,0,0,0,53,80.30%,13.6,19.6,16.6,
10,10,11/19/17,LAR,@,MIN,L 7-24,RB,4,11,1,0,0,0,0,2,9,1,0,0,0,0,54,91.50%,11.6,14.6,13.1,
11,11,11/26/17,LAR,,NOR,W 26-20,HB,3,10,0,0,0,0,0,1,5,0,0,0,0,0,69,89.60%,12.8,16.8,14.8,
12,12,12/3/17,LAR,@,ARI,W 32-16,HB,4,13,0,0,0,0,0,2,2,0,0,0,0,0,55,94.80%,15.8,21.8,18.8,
13,13,12/10/17,LAR,,PHI,L 35-43,HB,4,15,2,0,0,0,0,3,11,2,0,0,0,0,45,93.80%,25.5,28.5,27,
14,14,12/17/17,LAR,@,SEA,W 42-7,HB,6,11,2,1,1,14,1,3,6,2,0,0,0,0,43,63.20%,42,48,43.5,
15,15,12/24/17,LAR,@,TEN,W 27-23,HB,4,15,0,1,1,3,1,3,5,0,1,1,3,1,62,92.50%,39.6,55.6,44.6,
1,1,9/10/18,LAR,@,OAK,W 33-13,RB,5,19,0,1,1,19,1,3,6,0,0,0,0,0,59,93.70%,20.7,26.7,22.2,
2,2,9/16/18,LAR,,ARI,W 34-0,HB,10,33,3,1,1,11,0,6,13,2,0,0,0,0,49,68.10%,29.3,32.3,30.8,
3,3,9/23/18,LAR,,LAC,W 35-23,HB,3,5,1,,,,,3,5,1,,,,,64,83.10%,19.6,28.6,22.1,
4,4,9/27/18,LAR,,MIN,W 38-31,HB,2,2,0,2,2,11,1,1,-1,0,1,1,8,1,53,96.40%,21.6,25.6,23.6,
5,5,10/7/18,LAR,@,SEA,W 33-31,HB,12,35,3,1,1,8,0,9,14,3,1,1,8,0,66,100.00%,29.3,33.3,31.3,
6,6,10/14/18,LAR,@,DEN,W 23-20,HB,5,17,2,1,1,4,0,4,16,2,0,0,0,0,58,78.40%,34.5,39.5,35.5,
7,7,10/21/18,LAR,@,SFO,W 39-10,HB,6,13,2,1,1,12,1,2,8,2,0,0,0,0,36,59.00%,26.6,30.6,28.6,
8,8,10/28/18,LAR,,GNB,W 29-27,HB,4,5,0,,,,,2,2,0,0,0,0,0,70,89.70%,27.5,36.5,30.5,
9,9,11/4/18,LAR,@,NOR,L 35-45,HB,3,12,1,,,,,2,8,1,0,0,0,0,54,90.00%,13.9,19.9,16.9,
10,10,11/11/18,LAR,,SEA,W 36-31,HB,2,26,1,1,1,4,0,0,0,0,0,0,0,0,58,89.20%,22,28,23.5,
11,11,11/19/18,LAR,,KAN,W 54-51,HB,2,3,0,,,,,0,0,0,0,0,0,0,68,85.00%,9.4,12.4,10.9,
12,12,12/2/18,LAR,@,DET,W 30-16,HB,6,22,2,,,,,2,2,1,0,0,0,0,65,94.20%,28.5,34.5,30,
13,13,12/9/18,LAR,@,CHI,L 6-15,HB,1,1,0,,,,,0,0,0,0,0,0,0,62,98.40%,5.8,8.8,7.3,
14,14,12/16/18,LAR,,PHI,L 23-30,HB,2,6,2,1,1,9,0,2,6,2,0,0,0,0,63,82.90%,24.4,34.4,29.4,
