target,1,2,3,4,5,6,7
11.92,0.0,0.1351351351351351,0.9677419354838709,0.375,0.23809523809523808,0.0,0.7000000000000001
22.68,1.0,0.32432432432432456,0.7419354838709676,0.6875,,0.0,0.2400000000000001
10.72,0.0,0.5945945945945947,0.9516129032258064,0.0625,0.5238095238095237,0.0,0.78
11.78,1.0,0.4054054054054057,0.564516129032258,0.875,,0.0,0.7000000000000001
10.46,0.0,0.6756756756756759,0.7580645161290321,0.4375,0.6190476190476191,0.0,0.8800000000000001
13.3,1.0,0.43243243243243246,0.4838709677419354,1.0,,0.0,0.6000000000000001
23.06,0.0,0.3513513513513513,0.3548387096774194,0.8125,,0.0,0.66
26.3,0.0,0.43243243243243246,0.4516129032258064,0.5,0.8333333333333333,1.0,1.0
15.24,1.0,0.7027027027027026,0.24193548387096775,0.375,,0.0,0.6400000000000001
29.74,0.0,0.7297297297297298,0.8064516129032256,0.0,,0.0,0.52
29.34,1.0,0.4054054054054057,0.09677419354838707,1.0,,0.0,0.66
22.76,0.0,0.0,0.08064516129032256,0.1875,0.7738095238095237,1.0,0.7000000000000001
14.52,1.0,0.3513513513513513,0.16129032258064513,0.5,,0.0,0.2400000000000001
18.9,0.0,0.45945945945945965,0.0,0.0625,0.6309523809523809,1.0,0.4600000000000001
15.96,1.0,0.3783783783783785,0.4032258064516129,0.3125,0.8928571428571428,1.0,0.5800000000000001
34.98,0.0,0.5405405405405408,0.9677419354838709,0.0625,0.6785714285714285,0.0,0.52
29.22,1.0,0.8918918918918921,0.6612903225806451,0.75,,0.0,0.54
23.98,0.0,0.945945945945946,0.9516129032258064,0.5,0.5238095238095237,0.0,0.52
16.94,0.0,1.0,0.7903225806451611,0.375,0.40476190476190477,0.0,0.56
15.14,1.0,0.7027027027027026,0.9999999999999999,0.5625,0.2857142857142857,0.0,0.52
17.26,1.0,0.945945945945946,0.6612903225806451,0.5,,0.0,0.54
15.92,0.0,0.810810810810811,0.29032258064516125,0.1875,0.75,0.0,0.7000000000000001
16.18,1.0,0.756756756756757,0.5161290322580645,0.5625,,0.0,0.4600000000000001
25.36,0.0,0.5405405405405408,0.5806451612903225,0.0625,0.25,0.0,0.92
16.36,1.0,0.5405405405405408,0.12903225806451613,0.125,,0.0,0.14
29.24,0.0,0.7297297297297298,0.6612903225806451,0.0625,0.47619047619047616,0.0,0.68
20.26,1.0,0.6216216216216219,0.5161290322580645,0.625,,0.0,0.0
25.08,0.0,0.5405405405405408,0.29032258064516125,0.0,0.20238095238095238,0.0,0.52
27.0,0.0,0.5675675675675675,0.6612903225806451,0.1875,0.0,0.0,0.52
29.86,1.0,0.6756756756756759,0.16129032258064513,0.4375,,0.0,0.52
23.52,1.0,0.7027027027027026,0.5161290322580645,0.3125,,0.0,0.42000000000000004
19.36,1.0,0.5135135135135136,0.09677419354838707,0.8125,0.34523809523809523,0.0,0.42000000000000004
17.54,0.0,0.5945945945945947,0.8870967741935484,0.25,0.34523809523809523,0.0,0.56
14.54,1.0,0.5405405405405408,0.7903225806451611,0.125,0.4642857142857143,0.0,0.28
18.1,0.0,0.5945945945945947,0.7258064516129031,0.3125,0.2738095238095238,0.0,0.9400000000000001
32.0,0.0,0.6216216216216219,0.6290322580645161,0.4375,0.6666666666666666,0.0,0.6400000000000001
18.72,1.0,0.7837837837837838,0.5161290322580645,0.25,0.5833333333333333,0.0,0.5800000000000001
19.8,0.0,0.29729729729729737,0.6612903225806451,0.5625,0.7619047619047619,1.0,0.66
18.36,1.0,0.5405405405405408,0.6451612903225806,0.3125,0.2738095238095238,0.0,0.4000000000000001
28.46,0.0,0.48648648648648685,0.4354838709677419,0.5625,,1.0,0.54
17.38,1.0,0.9189189189189193,0.6774193548387096,0.5,0.4642857142857143,0.0,0.28
25.24,1.0,0.9729729729729732,0.32258064516129026,0.0625,0.5476190476190476,0.0,0.42000000000000004
31.42,0.0,0.6216216216216219,0.3870967741935484,0.125,0.6666666666666666,0.0,0.54
11.42,0.0,0.7837837837837838,0.9032258064516129,0.8125,0.5952380952380952,0.0,0.4600000000000001
28.44,1.0,0.756756756756757,0.596774193548387,0.4375,0.8928571428571428,0.0,0.6000000000000001
24.82,1.0,0.5675675675675675,0.24193548387096775,0.3125,1.0,1.0,0.6200000000000001
14.68,0.0,0.756756756756757,0.6129032258064516,0.0,,0.0,0.2400000000000001
