target,date,player_home,played,betting_over_under_line,weather_temperature,weather_wind_mph,weather_humidity,defense_fumbles_forced_moving_avg_1,defense_fumbles_forced_moving_max_1,defense_fumbles_forced_moving_min_1,defense_fumbles_forced_moving_avg_3,defense_fumbles_forced_moving_max_3,defense_fumbles_forced_moving_min_3,defense_fumbles_forced_moving_avg_5,defense_fumbles_forced_moving_max_5,defense_fumbles_forced_moving_min_5,defense_interceptions_moving_avg_1,defense_interceptions_moving_max_1,defense_interceptions_moving_min_1,defense_interceptions_moving_avg_3,defense_interceptions_moving_max_3,defense_interceptions_moving_min_3,defense_interceptions_moving_avg_5,defense_interceptions_moving_max_5,defense_interceptions_moving_min_5,defense_pass_yards_allowed_moving_avg_1,defense_pass_yards_allowed_moving_max_1,defense_pass_yards_allowed_moving_min_1,defense_pass_yards_allowed_moving_avg_3,defense_pass_yards_allowed_moving_max_3,defense_pass_yards_allowed_moving_min_3,defense_pass_yards_allowed_moving_avg_5,defense_pass_yards_allowed_moving_max_5,defense_pass_yards_allowed_moving_min_5,defense_rush_yards_allowed_moving_avg_1,defense_rush_yards_allowed_moving_max_1,defense_rush_yards_allowed_moving_min_1,defense_rush_yards_allowed_moving_avg_3,defense_rush_yards_allowed_moving_max_3,defense_rush_yards_allowed_moving_min_3,defense_rush_yards_allowed_moving_avg_5,defense_rush_yards_allowed_moving_max_5,defense_rush_yards_allowed_moving_min_5,defense_sacks_moving_avg_1,defense_sacks_moving_max_1,defense_sacks_moving_min_1,defense_sacks_moving_avg_3,defense_sacks_moving_max_3,defense_sacks_moving_min_3,defense_sacks_moving_avg_5,defense_sacks_moving_max_5,defense_sacks_moving_min_5,defense_points_allowed_moving_avg_1,defense_points_allowed_moving_max_1,defense_points_allowed_moving_min_1,defense_points_allowed_moving_avg_3,defense_points_allowed_moving_max_3,defense_points_allowed_moving_min_3,defense_points_allowed_moving_avg_5,defense_points_allowed_moving_max_5,defense_points_allowed_moving_min_5,weather_inclement,player_fantpt_moving_avg_1,player_fantpt_moving_max_1,player_fantpt_moving_min_1,player_fantpt_moving_avg_3,player_fantpt_moving_max_3,player_fantpt_moving_min_3,player_fantpt_moving_avg_5,player_fantpt_moving_max_5,player_fantpt_moving_min_5,betting_spread,twitter_pct_player_tweets,twitter_pct_opponent_tweets,twitter_count_player_swing_1_3,twitter_count_opponent_swing_1_3,twitter_player_net_sentiment,twitter_opponent_net_sentiment,twitter_player_pct_neutral,twitter_opponent_pct_neutral,twitter_net_sentiment_player_swing_1_3,twitter_net_sentiment_opponent_swing_1_3,twitter_pct_neutral_player_swing_1_3,twitter_pct_neutral_opponent_swing_1_3
11.92,2010-09-19,0,1,39.5,82.0,6.0,36.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,False,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,-3.0,0.02391614085080399,0.09617341746387136,0.2391304347826087,-0.215,-0.3202247191011236,-0.3895705521472393,0.47191011235955055,1.4887640449438202,-0.48148148148148145,-0.361111111111111,-0.010989010989010952,0.04347826086956514
22.68,2010-09-26,1,1,43.0,68.0,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,255.0,255.0,218.5,255.0,182.0,218.5,255.0,182.0,91.0,91.0,91.0,111.5,132.0,91.0,111.5,132.0,91.0,0.0,0.0,0.0,1.5,3.0,0.0,1.5,3.0,0.0,34.0,34.0,34.0,24.5,34.0,15.0,24.5,34.0,15.0,False,11.920000000000002,11.92,11.92,17.12,22.32,11.92,17.12,22.32,11.92,-14.5,0.019840176357123176,0.00955267750528153,0.43478260869565216,0.4,-0.24390243902439024,-0.25333333333333335,0.47560975609756095,0.17682926829268292,-0.49519230769230765,-1.2280701754385965,-0.40571428571428564,-0.26923076923076916
10.72,2010-10-04,0,1,48.0,81.0,1.0,60.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,256.0,256.0,256.0,206.66666666666666,256.0,139.0,206.66666666666666,256.0,139.0,146.0,146.0,146.0,117.33333333333333,156.0,50.0,117.33333333333333,156.0,50.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,31.0,31.0,31.0,17.0,31.0,10.0,17.0,31.0,10.0,False,22.68,22.68,22.68,18.973333333333333,22.68,11.92,18.973333333333333,22.68,11.92,-1.0,0.022338568935427575,0.019197207678883072,-0.4444444444444444,-0.6052631578947368,-0.07142857142857142,-0.41739130434782606,0.5714285714285714,0.3,-0.326530612244898,-0.712962962962963,-0.08080808080808083,-0.5741935483870968
11.78,2010-10-17,1,1,44.5,57.0,14.0,,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.2,1.0,0.0,314.0,314.0,314.0,198.66666666666666,314.0,141.0,167.4,314.0,74.0,39.0,39.0,39.0,98.66666666666667,173.0,39.0,101.2,173.0,39.0,1.0,1.0,1.0,1.6666666666666667,2.0,1.0,1.6,2.0,1.0,17.0,17.0,17.0,16.0,17.0,14.0,14.4,17.0,9.0,False,10.719999999999999,10.72,10.72,15.106666666666667,22.68,10.72,16.91,22.68,10.72,-3.0,0.019322747273770806,0.013870288884637458,0.5555555555555556,-0.3409090909090909,-0.296551724137931,-0.3425925925925926,0.47586206896551725,0.2689655172413793,-0.8678090575275399,-0.4705882352941177,-0.5753086419753086,-0.08333333333333341
10.46,2010-10-24,0,1,49.5,69.0,7.0,68.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.8,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,1.4,4.0,0.0,198.0,198.0,198.0,172.33333333333334,198.0,146.0,206.0,293.0,146.0,117.0,117.0,117.0,91.66666666666667,117.0,47.0,82.8,117.0,47.0,3.0,3.0,3.0,5.0,9.0,3.0,4.0,9.0,2.0,20.0,20.0,20.0,21.666666666666668,35.0,10.0,21.0,35.0,10.0,False,11.78,11.78,11.78,15.06,22.68,10.72,15.884,22.68,10.72,1.5,0.019005978406353173,0.009815294012670651,0.6410256410256411,0.1,-0.1836734693877551,-0.34523809523809523,0.4421768707482993,0.21768707482993196,-3.4166666666666665,0.12244897959183677,-0.2100313479623825,-0.3
13.3,2010-10-31,1,1,45.0,52.0,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,0.0,2.0,2.0,2.0,1.3333333333333333,2.0,0.0,1.2,2.0,0.0,295.0,295.0,295.0,235.33333333333334,295.0,191.0,211.4,295.0,114.0,84.0,84.0,84.0,111.0,155.0,84.0,103.2,155.0,63.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,1.0,2.0,0.0,28.0,28.0,28.0,26.0,29.0,21.0,20.4,29.0,10.0,False,10.460000000000003,10.46,10.46,10.986666666666666,11.78,10.46,13.512,22.68,10.46,-5.5,0.02800373383117749,0.027070276036804907,0.15217391304347827,0.5,-0.40993788819875776,-0.4316546762589928,0.42857142857142855,0.3167701863354037,-0.7727272727272727,-0.32352941176470584,0.257142857142857,0.07368421052631582
23.06,2010-11-07,0,1,43.5,44.0,13.0,,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.6,2.0,0.0,4.0,4.0,4.0,1.6666666666666667,4.0,0.0,1.0,4.0,0.0,356.0,356.0,356.0,266.6666666666667,356.0,187.0,285.4,371.0,187.0,58.0,58.0,58.0,114.66666666666667,165.0,58.0,104.0,165.0,58.0,3.0,3.0,3.0,1.6666666666666667,3.0,0.0,1.8,4.0,0.0,17.0,17.0,17.0,21.666666666666668,28.0,17.0,21.8,28.0,17.0,False,13.300000000000004,13.3,13.3,11.84666666666667,13.3,10.46,13.788,22.68,10.46,-4.0,0.01931434089811685,0.008268952197006277,0.208955223880597,0.03333333333333333,-0.2567049808429119,-0.4067796610169492,0.4674329501915709,0.20306513409961685,-0.7146853146853147,0.8518518518518515,-0.2034313725490197,-0.00999999999999994
26.3,2010-11-14,0,1,45.0,50.0,8.0,86.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,2.0,1.0,248.0,248.0,248.0,270.0,305.0,248.0,269.4,305.0,248.0,54.0,54.0,54.0,49.333333333333336,64.0,30.0,57.4,70.0,30.0,4.0,4.0,4.0,2.3333333333333335,4.0,1.0,2.8,6.0,1.0,21.0,21.0,21.0,21.0,22.0,20.0,18.0,22.0,10.0,True,23.06,23.06,23.06,15.60666666666667,23.06,10.46,13.863999999999999,23.06,10.46,4.5,0.02341534802890332,0.03283636696240739,0.4,-0.2159090909090909,-0.3163265306122449,-0.2647058823529412,0.45918367346938777,0.5867346938775511,-0.6601607347876004,0.37566137566137553,-0.0687258687258686,-0.2523076923076923
15.24,2010-11-21,1,1,50.0,37.0,6.0,,2.0,2.0,2.0,1.0,2.0,0.0,0.8,2.0,0.0,3.0,3.0,3.0,1.3333333333333333,3.0,0.0,1.2,3.0,0.0,292.0,292.0,292.0,237.0,292.0,201.0,222.6,292.0,156.0,72.0,72.0,72.0,125.0,195.0,72.0,120.2,195.0,72.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6,3.0,1.0,17.0,17.0,17.0,20.0,26.0,17.0,18.6,26.0,9.0,False,26.3,26.3,26.3,20.886666666666667,26.3,13.3,16.979999999999997,26.3,10.46,-4.5,0.03278844326173731,0.017487169739593234,0.4189189189189189,0.18421052631578946,-0.3650190114068441,-0.35526315789473684,0.34600760456273766,0.2623574144486692,-0.36213991769547327,-0.5441176470588236,-0.15464895635673614,-0.24596774193548382
29.74,2010-11-25,0,1,50.5,72.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,147.0,147.0,147.0,209.66666666666666,336.0,146.0,212.0,336.0,146.0,134.0,134.0,134.0,131.0,149.0,110.0,128.0,167.0,80.0,2.0,2.0,2.0,1.3333333333333333,2.0,1.0,2.6,7.0,1.0,35.0,35.0,35.0,24.0,35.0,14.0,25.0,35.0,14.0,False,15.239999999999998,15.24,15.24,21.533333333333335,26.3,15.24,17.671999999999997,26.3,10.46,-7.5,0.020450606585788563,0.009820912767186597,,,-0.4074074074074074,-0.4307692307692308,0.31851851851851853,0.17777777777777778,,,,
29.34,2010-12-06,1,1,44.5,28.0,16.0,,1.0,1.0,1.0,1.3333333333333333,2.0,1.0,0.8,2.0,0.0,2.0,2.0,2.0,0.6666666666666666,2.0,0.0,0.4,2.0,0.0,135.0,135.0,135.0,198.0,254.0,135.0,200.8,254.0,135.0,46.0,46.0,46.0,83.33333333333333,107.0,46.0,81.8,107.0,46.0,3.0,3.0,3.0,2.3333333333333335,3.0,1.0,2.2,3.0,1.0,10.0,10.0,10.0,19.0,27.0,10.0,17.2,27.0,9.0,False,29.739999999999995,29.74,29.74,23.76,29.74,15.24,21.528,29.74,13.3,-4.0,0.028415905526340067,0.07122428268290433,-0.3333333333333333,-0.09923664122137404,-0.32710280373831774,-0.3053435114503817,0.397196261682243,1.102803738317757,-0.5230263157894737,0.3515535097813577,0.31034482758620696,0.011822660098522245
22.76,2010-12-12,0,1,37.0,27.0,3.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.4,3.0,0.0,178.0,178.0,178.0,232.66666666666666,333.0,178.0,233.4,333.0,170.0,134.0,134.0,134.0,92.66666666666667,134.0,39.0,78.8,134.0,39.0,2.0,2.0,2.0,4.0,6.0,2.0,2.8,6.0,1.0,20.0,20.0,20.0,15.333333333333334,26.0,0.0,15.6,26.0,0.0,True,29.34,29.34,29.34,24.773333333333337,29.74,15.24,24.735999999999997,29.74,15.24,-3.0,0.03892717452039486,0.03473644999068728,0.1927710843373494,-0.0641025641025641,-0.26517571884984026,-0.22900763358778625,0.3961661341853035,0.3801916932907348,-0.474025974025974,-0.17647058823529405,-0.26666666666666666,-0.40571428571428575
14.52,2010-12-19,1,1,43.5,32.0,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.2,2.0,0.0,117.0,117.0,117.0,169.33333333333334,197.0,117.0,179.8,208.0,117.0,190.0,190.0,190.0,134.66666666666666,190.0,97.0,107.2,190.0,39.0,2.0,2.0,2.0,2.6666666666666665,4.0,2.0,2.6,4.0,1.0,7.0,7.0,7.0,14.333333333333334,20.0,7.0,10.6,20.0,3.0,False,22.76,22.76,22.76,27.280000000000005,29.74,22.76,24.676,29.74,15.24,-14.5,0.031252712909106695,0.018751627745464017,1.2033898305084745,0.2222222222222222,-0.14285714285714285,-0.41916167664670656,0.4603174603174603,0.2857142857142857,4.181818181818182,-0.15,-0.11779448621553894,0.18518518518518515
18.9,2010-12-26,0,1,45.5,22.0,1.0,69.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,1.6,4.0,0.0,276.0,276.0,276.0,183.0,276.0,86.0,208.6,276.0,86.0,65.0,65.0,65.0,126.66666666666667,210.0,65.0,143.8,210.0,65.0,3.0,3.0,3.0,1.6666666666666667,3.0,1.0,2.4,5.0,1.0,14.0,14.0,14.0,19.333333333333332,38.0,6.0,21.6,38.0,6.0,True,14.52,14.52,14.52,22.206666666666674,29.34,14.52,22.32,29.74,14.52,-9.0,0.022201405152224823,0.008992974238875878,-0.10204081632653061,-0.38461538461538464,-0.14534883720930233,-0.26666666666666666,0.42441860465116277,0.1744186046511628,-3.222222222222222,-0.041666666666666595,0.15909090909090914,-0.1652173913043479
15.96,2011-01-02,1,1,44.0,47.0,5.0,91.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.8,2.0,0.0,222.0,222.0,222.0,220.33333333333334,223.0,216.0,226.0,252.0,216.0,67.0,67.0,67.0,75.0,87.0,67.0,58.6,87.0,16.0,2.0,2.0,2.0,3.3333333333333335,6.0,2.0,2.6,6.0,1.0,34.0,34.0,34.0,19.0,34.0,6.0,17.4,34.0,6.0,True,18.900000000000002,18.9,18.9,18.72666666666667,22.76,14.52,23.052,29.74,14.52,-6.0,0.03471186440677966,0.014372881355932203,-0.2962962962962963,-0.6,-0.2247191011235955,-0.5494505494505495,0.398876404494382,0.17415730337078653,-0.7947368421052631,0.5779220779220781,-0.059829059829059804,0.08641975308641978
34.98,2011-09-12,0,1,47.0,82.0,1.0,73.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,321.0,321.0,321.0,255.33333333333334,321.0,222.0,239.8,321.0,216.0,181.0,181.0,181.0,106.33333333333333,181.0,67.0,91.6,181.0,52.0,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,2.4,6.0,0.0,38.0,38.0,38.0,29.666666666666668,38.0,17.0,21.6,38.0,6.0,False,15.96,15.96,15.96,16.460000000000004,18.9,14.52,20.296,29.34,14.52,-7.5,0.020771007687355625,0.009410383610406331,-0.6771653543307087,-0.5371900826446281,-0.23228346456692914,-0.288135593220339,0.473753280839895,0.18766404199475065,1.099290780141844,-0.22171945701357462,0.09093799682034975,-0.011627906976744136
29.22,2011-09-18,1,1,53.5,63.0,12.0,,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.2,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.8,2.0,0.0,39.0,39.0,39.0,171.0,269.0,39.0,145.2,269.0,39.0,159.0,159.0,159.0,135.66666666666666,159.0,102.0,103.2,159.0,48.0,2.0,2.0,2.0,1.6666666666666667,3.0,0.0,3.0,6.0,0.0,17.0,17.0,17.0,26.333333333333332,34.0,17.0,17.2,34.0,0.0,False,34.98,34.98,34.98,23.280000000000005,34.98,15.96,21.424,34.98,14.52,-7.0,0.03153002416806098,0.007733779512920617,0.06432748538011696,0.42857142857142855,-0.1426256077795786,-0.3504273504273504,0.4376012965964344,0.05834683954619125,-0.7410071942446044,13.399999999999999,-0.2993951612903226,-0.28571428571428575
23.98,2011-09-25,0,1,54.5,81.0,8.0,60.0,1.0,1.0,1.0,1.0,2.0,0.0,0.8,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.0,323.0,323.0,323.0,187.0,323.0,119.0,195.4,323.0,119.0,131.0,131.0,131.0,171.66666666666666,276.0,108.0,159.4,276.0,65.0,0.0,0.0,0.0,1.0,2.0,0.0,1.4,3.0,0.0,35.0,35.0,35.0,26.666666666666668,38.0,7.0,25.6,38.0,7.0,False,29.21999999999999,29.22,29.22,26.72000000000001,34.98,15.96,22.716,34.98,14.52,-7.5,0.020785138450753592,0.03116018226428321,0.7647058823529411,0.01675977653631285,-0.24892703862660945,-0.2554858934169279,0.463519313304721,0.5858369098712446,0.48,-0.574468085106383,-0.24242424242424246,0.10269230769230768
16.94,2011-10-02,0,1,55.5,71.0,6.0,50.0,1.0,1.0,1.0,1.0,2.0,0.0,0.6,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,2.0,1.0,369.0,369.0,369.0,312.3333333333333,369.0,264.0,251.6,369.0,142.0,100.0,100.0,100.0,120.33333333333333,223.0,38.0,133.4,223.0,38.0,4.0,4.0,4.0,3.3333333333333335,5.0,1.0,3.4,7.0,0.0,24.0,24.0,24.0,27.333333333333332,38.0,20.0,24.6,38.0,10.0,False,23.97999999999999,23.98,23.98,29.393333333333345,34.98,23.98,24.608,34.98,15.96,-6.5,0.022712640389155162,0.03308534229916303,-0.028901734104046242,0.8695652173913043,-0.3333333333333333,-0.047377326565143825,0.4344086021505376,0.5505376344086022,-0.6566244436836699,-0.6108024691358025,-0.2561066799601197,-0.40618556701030933
15.14,2011-10-09,1,1,50.0,84.0,9.0,40.0,2.0,2.0,2.0,0.6666666666666666,2.0,0.0,0.8,2.0,0.0,1.0,1.0,1.0,1.6666666666666667,4.0,0.0,1.6,4.0,0.0,163.0,163.0,163.0,143.33333333333334,163.0,111.0,181.0,342.0,111.0,112.0,112.0,112.0,152.66666666666666,234.0,112.0,137.6,234.0,64.0,2.0,2.0,2.0,1.6666666666666667,2.0,1.0,2.2,4.0,1.0,34.0,34.0,34.0,23.666666666666668,34.0,3.0,23.8,34.0,3.0,False,16.939999999999987,16.94,16.94,23.380000000000013,29.22,16.94,24.216,34.98,15.96,-7.5,0.02266950889563007,0.07223087644502747,0.75,-0.12698412698412698,-0.27699530516431925,-0.24738675958188153,0.47183098591549294,1.204225352112676,-0.5755294117647058,-0.11996876126396729,-0.2267585719335455,-0.06316170482309294
