target,player_home,betting_over_under_line,weather_temperature,weather_wind_mph,weather_humidity,defense_fumbles_forced_moving_avg_1,defense_fumbles_forced_moving_max_1,defense_fumbles_forced_moving_min_1,defense_fumbles_forced_moving_avg_3,defense_fumbles_forced_moving_max_3,defense_fumbles_forced_moving_min_3,defense_fumbles_forced_moving_avg_5,defense_fumbles_forced_moving_max_5,defense_fumbles_forced_moving_min_5,defense_interceptions_moving_avg_1,defense_interceptions_moving_max_1,defense_interceptions_moving_min_1,defense_interceptions_moving_avg_3,defense_interceptions_moving_max_3,defense_interceptions_moving_min_3,defense_interceptions_moving_avg_5,defense_interceptions_moving_max_5,defense_interceptions_moving_min_5,defense_pass_yards_allowed_moving_avg_1,defense_pass_yards_allowed_moving_max_1,defense_pass_yards_allowed_moving_min_1,defense_pass_yards_allowed_moving_avg_3,defense_pass_yards_allowed_moving_max_3,defense_pass_yards_allowed_moving_min_3,defense_pass_yards_allowed_moving_avg_5,defense_pass_yards_allowed_moving_max_5,defense_pass_yards_allowed_moving_min_5,defense_rush_yards_allowed_moving_avg_1,defense_rush_yards_allowed_moving_max_1,defense_rush_yards_allowed_moving_min_1,defense_rush_yards_allowed_moving_avg_3,defense_rush_yards_allowed_moving_max_3,defense_rush_yards_allowed_moving_min_3,defense_rush_yards_allowed_moving_avg_5,defense_rush_yards_allowed_moving_max_5,defense_rush_yards_allowed_moving_min_5,defense_sacks_moving_avg_1,defense_sacks_moving_max_1,defense_sacks_moving_min_1,defense_sacks_moving_avg_3,defense_sacks_moving_max_3,defense_sacks_moving_min_3,defense_sacks_moving_avg_5,defense_sacks_moving_max_5,defense_sacks_moving_min_5,defense_points_allowed_moving_avg_1,defense_points_allowed_moving_max_1,defense_points_allowed_moving_min_1,defense_points_allowed_moving_avg_3,defense_points_allowed_moving_max_3,defense_points_allowed_moving_min_3,defense_points_allowed_moving_avg_5,defense_points_allowed_moving_max_5,defense_points_allowed_moving_min_5,weather_inclement,player_fantpt_moving_avg_1,player_fantpt_moving_max_1,player_fantpt_moving_min_1,player_fantpt_moving_avg_3,player_fantpt_moving_max_3,player_fantpt_moving_min_3,player_fantpt_moving_avg_5,player_fantpt_moving_max_5,player_fantpt_moving_min_5,betting_spread,twitter_count_player_tweets,twitter_count_opponent_tweets,twitter_count_player_swing_1_3,twitter_count_opponent_swing_1_3,twitter_player_net_sentiment,twitter_opponent_net_sentiment,twitter_player_pct_neutral,twitter_opponent_pct_neutral,twitter_net_sentiment_player_swing_1_3,twitter_net_sentiment_opponent_swing_1_3,twitter_pct_neutral_player_swing_1_3,twitter_pct_neutral_opponent_swing_1_3
30.8,0,41.0,72.0,0.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,False,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,-6.5,131.0,127.0,-0.14814814814814814,0.0,-0.42748091603053434,-0.3700787401574803,0.45038167938931295,0.3511450381679389,-0.15217391304347827,-0.25,-0.22558922558922564,0.3
6.1,0,45.0,90.0,5.0,67.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.5,2.0,1.0,1.5,2.0,1.0,334.0,334.0,334.0,314.5,334.0,295.0,314.5,334.0,295.0,151.0,151.0,151.0,120.0,151.0,89.0,120.0,151.0,89.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,38.0,38.0,38.0,27.5,38.0,17.0,27.5,38.0,17.0,False,30.8,30.8,30.8,22.5,30.8,14.2,22.5,30.8,14.2,-3.0,446.0,60.0,-0.8085106382978723,0.09090909090909091,-0.226457399103139,-0.45,0.48654708520179374,0.053811659192825115,0.3055555555555556,-0.08333333333333341,-0.25319148936170216,2.272727272727273
15.4,1,43.5,63.0,1.0,57.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,0.0,235.0,235.0,235.0,338.0,497.0,235.0,338.0,497.0,235.0,133.0,133.0,133.0,98.0,133.0,58.0,98.0,133.0,58.0,1.0,1.0,1.0,2.3333333333333335,5.0,1.0,2.3333333333333335,5.0,1.0,30.0,30.0,30.0,22.333333333333332,30.0,7.0,22.333333333333332,30.0,7.0,False,6.099999999999998,6.1,6.1,17.033333333333335,30.8,6.1,17.033333333333335,30.8,6.1,-5.0,164.0,153.0,-0.32558139534883723,0.2727272727272727,-0.16463414634146342,-0.45098039215686275,0.47560975609756095,0.29878048780487804,-0.5551724137931033,-0.05714285714285716,-0.3255813953488372,-0.04545454545454547
19.8,0,38.5,75.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,273.0,273.0,273.0,259.0,273.0,250.0,236.75,273.0,170.0,98.0,98.0,98.0,118.33333333333333,207.0,50.0,108.0,207.0,50.0,3.0,3.0,3.0,1.6666666666666667,3.0,0.0,1.5,3.0,0.0,16.0,16.0,16.0,24.0,31.0,16.0,25.75,31.0,16.0,False,15.4,15.4,15.4,17.433333333333334,30.8,6.1,16.625,30.8,6.1,3.0,102.0,75.0,0.2631578947368421,0.0,-0.6470588235294118,-0.2,0.28431372549019607,0.30392156862745096,-0.3214285714285714,-0.7777777777777778,-0.5789473684210527,-0.4
8.5,1,43.0,66.0,1.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,246.0,246.0,246.0,266.3333333333333,365.0,188.0,239.8,365.0,164.0,48.0,48.0,48.0,57.333333333333336,81.0,43.0,86.6,143.0,43.0,3.0,3.0,3.0,2.0,3.0,1.0,2.2,3.0,1.0,10.0,10.0,10.0,16.0,24.0,10.0,14.0,24.0,7.0,False,19.800000000000004,19.8,19.8,13.766666666666666,19.8,6.1,17.259999999999998,30.8,6.1,-1.5,136.0,61.0,0.3235294117647059,0.5,-0.3088235294117647,-0.3114754098360656,0.41911764705882354,0.20588235294117646,0.03888888888888887,-0.5555555555555556,-0.46078431372549017,-0.14285714285714282
10.2,0,42.0,78.0,2.0,39.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.6,1.0,0.0,3.0,3.0,3.0,2.3333333333333335,3.0,1.0,1.8,3.0,0.0,189.0,189.0,189.0,312.0,406.0,189.0,273.0,406.0,43.0,76.0,76.0,76.0,78.66666666666667,141.0,19.0,89.8,141.0,19.0,2.0,2.0,2.0,4.666666666666667,6.0,2.0,4.0,6.0,2.0,3.0,3.0,3.0,18.666666666666668,27.0,3.0,17.0,27.0,3.0,False,8.500000000000004,8.5,8.5,14.566666666666665,19.8,8.5,16.119999999999997,30.8,6.1,3.0,117.0,102.0,-0.3103448275862069,-0.17857142857142858,-0.3333333333333333,-0.39215686274509803,0.37606837606837606,0.4444444444444444,0.31818181818181823,0.08212560386473419,-0.051724137931034586,0.39642857142857135
10.3,1,47.0,52.0,1.0,34.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.8,2.0,0.0,201.0,201.0,201.0,201.0,246.0,156.0,248.4,476.0,156.0,108.0,108.0,108.0,111.33333333333333,113.0,108.0,111.0,174.0,47.0,3.0,3.0,3.0,2.3333333333333335,3.0,1.0,1.6,3.0,0.0,17.0,17.0,17.0,16.666666666666668,24.0,9.0,18.8,31.0,9.0,False,10.200000000000003,10.2,10.2,12.83333333333333,19.8,8.5,12.0,19.8,6.1,-3.0,117.0,206.0,-0.37142857142857144,-0.10204081632653061,-0.3504273504273504,-0.46601941747572817,0.4188034188034188,0.5811965811965812,0.7897727272727274,-0.1338383838383839,0.021428571428571436,-0.2517006802721088
15.4,0,43.5,52.0,3.0,67.0,1.0,1.0,1.0,2.0,3.0,1.0,1.6,3.0,1.0,1.0,1.0,1.0,1.6666666666666667,4.0,0.0,1.4,4.0,0.0,212.0,212.0,212.0,266.6666666666667,307.0,212.0,268.6,307.0,212.0,102.0,102.0,102.0,112.66666666666667,170.0,66.0,121.0,170.0,66.0,1.0,1.0,1.0,2.0,4.0,1.0,2.2,4.0,1.0,37.0,37.0,37.0,26.0,37.0,14.0,20.6,37.0,12.0,False,10.300000000000004,10.3,10.3,9.666666666666666,10.3,8.5,12.84,19.8,8.5,-3.5,176.0,136.0,-0.4375,-0.7567567567567568,-0.4375,-0.27205882352941174,0.3465909090909091,0.36363636363636365,0.06666666666666661,-0.17777777777777787,0.26562500000000006,-0.2702702702702703
20.0,1,48.0,45.0,7.0,68.0,0.0,0.0,0.0,1.0,2.0,0.0,1.2,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,327.0,327.0,327.0,222.0,327.0,113.0,235.0,327.0,113.0,100.0,100.0,100.0,63.333333333333336,100.0,41.0,55.6,100.0,24.0,0.0,0.0,0.0,1.0,3.0,0.0,1.6,3.0,0.0,33.0,33.0,33.0,25.0,35.0,7.0,21.0,35.0,7.0,False,15.400000000000002,15.4,15.4,11.966666666666667,15.4,10.2,12.84,19.8,8.5,-3.5,314.0,202.0,0.10638297872340426,0.0,-0.2802547770700637,-0.4306930693069307,0.4299363057324841,0.23885350318471338,-0.6045673076923077,-0.0,-0.09477756286266924,-0.1818181818181818
12.0,0,43.0,45.0,1.0,57.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.6,3.0,0.0,187.0,187.0,187.0,218.66666666666666,299.0,170.0,219.6,299.0,170.0,39.0,39.0,39.0,51.666666666666664,70.0,39.0,77.4,121.0,39.0,6.0,6.0,6.0,2.6666666666666665,6.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,10.666666666666666,19.0,0.0,14.4,23.0,0.0,False,20.000000000000007,20.0,20.0,15.233333333333334,20.0,10.3,12.88,20.0,8.5,-3.5,203.0,198.0,-0.2571428571428571,0.8,-0.22167487684729065,-0.3686868686868687,0.39901477832512317,0.4039408866995074,0.009615384615384703,0.018518518518518406,-0.10857142857142861,-0.0999999999999999
25.0,1,49.5,37.0,5.0,55.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,3.0,3.0,3.0,1.3333333333333333,3.0,0.0,1.0,3.0,0.0,138.0,138.0,138.0,265.0,342.0,138.0,271.6,342.0,138.0,24.0,24.0,24.0,97.33333333333333,165.0,24.0,95.2,165.0,24.0,1.0,1.0,1.0,2.0,3.0,1.0,1.6,3.0,1.0,0.0,0.0,0.0,20.333333333333332,31.0,0.0,24.0,31.0,0.0,False,12.000000000000007,12.0,12.0,15.800000000000002,20.0,12.0,13.580000000000002,20.0,10.2,-8.0,129.0,95.0,28.0,2.5,-0.2868217054263566,-0.5263157894736842,0.3798449612403101,0.24806201550387597,-1.3793103448275863,0.1428571428571428,-1.0,-0.41666666666666663
15.3,0,51.0,72.0,0.0,,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,4.0,4.0,4.0,2.0,4.0,1.0,1.6,4.0,0.0,365.0,365.0,365.0,335.3333333333333,365.0,289.0,333.6,373.0,289.0,40.0,40.0,40.0,65.33333333333333,81.0,40.0,88.2,138.0,40.0,0.0,0.0,0.0,1.6666666666666667,3.0,0.0,1.2,3.0,0.0,35.0,35.0,35.0,28.0,35.0,19.0,29.8,45.0,19.0,False,25.000000000000007,25.0,25.0,19.000000000000004,25.0,12.0,16.54,25.0,10.3,-4.0,191.0,167.0,0.34285714285714286,0.42857142857142855,-0.32460732984293195,-0.31137724550898205,0.34554973821989526,0.4607329842931937,-0.2991239048811014,0.2444444444444446,-0.1942857142857144,-0.23809523809523808
7.7,0,47.0,33.0,6.0,58.0,0.0,0.0,0.0,1.6666666666666667,4.0,0.0,1.4,4.0,0.0,1.0,1.0,1.0,1.3333333333333333,2.0,1.0,1.0,2.0,0.0,126.0,126.0,126.0,194.66666666666666,296.0,126.0,233.8,327.0,126.0,61.0,61.0,61.0,114.0,207.0,61.0,118.0,207.0,61.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,0.0,3.0,3.0,3.0,10.0,20.0,3.0,18.0,33.0,3.0,False,15.300000000000011,15.3,15.3,17.433333333333337,25.0,12.0,17.54,25.0,12.0,3.0,258.0,296.0,0.05454545454545454,-0.11688311688311688,-0.2248062015503876,-0.2972972972972973,0.3875968992248062,0.45348837209302323,-0.18719211822660092,-0.06457800511508946,0.42363636363636353,0.009276437847866534
8.5,1,44.5,37.0,1.0,46.0,0.0,0.0,0.0,1.3333333333333333,4.0,0.0,0.8,4.0,0.0,1.0,1.0,1.0,1.3333333333333333,2.0,1.0,1.0,2.0,0.0,194.0,194.0,194.0,179.66666666666666,194.0,158.0,211.2,306.0,158.0,104.0,104.0,104.0,133.66666666666666,213.0,84.0,104.2,213.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,40.0,40.0,40.0,25.0,40.0,14.0,23.8,40.0,13.0,False,7.70000000000001,7.7,7.7,16.000000000000004,25.0,7.7,16.0,25.0,7.7,-14.5,591.0,114.0,6.928571428571429,6.222222222222222,-0.2893401015228426,-0.37719298245614036,0.42470389170896783,0.0829103214890017,1.6738738738738739,-0.7230769230769231,0.2920634920634921,-0.2528735632183909
