target,home,over_under_line,weather_temperature,weather_wind_mph,weather_humidity,fumbles_forced,interceptions,pass_yards_allowed,rush_yards_allowed,sacks,points_allowed,fumbles_forced_moving_avg_1,fumbles_forced_moving_max_1,fumbles_forced_moving_min_1,fumbles_forced_moving_avg_3,fumbles_forced_moving_max_3,fumbles_forced_moving_min_3,fumbles_forced_moving_avg_5,fumbles_forced_moving_max_5,fumbles_forced_moving_min_5,interceptions_moving_avg_1,interceptions_moving_max_1,interceptions_moving_min_1,interceptions_moving_avg_3,interceptions_moving_max_3,interceptions_moving_min_3,interceptions_moving_avg_5,interceptions_moving_max_5,interceptions_moving_min_5,pass_yards_allowed_moving_avg_1,pass_yards_allowed_moving_max_1,pass_yards_allowed_moving_min_1,pass_yards_allowed_moving_avg_3,pass_yards_allowed_moving_max_3,pass_yards_allowed_moving_min_3,pass_yards_allowed_moving_avg_5,pass_yards_allowed_moving_max_5,pass_yards_allowed_moving_min_5,rush_yards_allowed_moving_avg_1,rush_yards_allowed_moving_max_1,rush_yards_allowed_moving_min_1,rush_yards_allowed_moving_avg_3,rush_yards_allowed_moving_max_3,rush_yards_allowed_moving_min_3,rush_yards_allowed_moving_avg_5,rush_yards_allowed_moving_max_5,rush_yards_allowed_moving_min_5,sacks_moving_avg_1,sacks_moving_max_1,sacks_moving_min_1,sacks_moving_avg_3,sacks_moving_max_3,sacks_moving_min_3,sacks_moving_avg_5,sacks_moving_max_5,sacks_moving_min_5,points_allowed_moving_avg_1,points_allowed_moving_max_1,points_allowed_moving_min_1,points_allowed_moving_avg_3,points_allowed_moving_max_3,points_allowed_moving_min_3,points_allowed_moving_avg_5,points_allowed_moving_max_5,points_allowed_moving_min_5,inclement,fantpt_moving_avg_1,fantpt_moving_max_1,fantpt_moving_min_1,fantpt_moving_avg_3,fantpt_moving_max_3,fantpt_moving_min_3,fantpt_moving_avg_5,fantpt_moving_max_5,fantpt_moving_min_5,spread,count_player_tweets,count_opponent_tweets,count_player_swing_1_3,count_opponent_swing_1_3,player_net_sentiment,opponent_net_sentiment,player_pct_neutral,opponent_pct_neutral,net_sentiment_player_swing_1_3,net_sentiment_opponent_swing_1_3,pct_neutral_player_swing_1_3,pct_neutral_opponent_swing_1_3
11.92,0,39.5,82.0,6.0,36.0,1,2,248,52,1,14,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,False,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,-3.0,178.0,652.0,-0.041666666666666664,-0.42990654205607476,-0.3202247191011236,-0.3895705521472393,0.47191011235955055,1.4887640449438202,-0.33596837944664026,0.6810109289617485,0.15942028985507242,0.1162444113263786
22.68,1,43.0,68.0,11.0,,1,0,252,200,1,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,255.0,255.0,218.5,255.0,182.0,218.5,255.0,182.0,91.0,91.0,91.0,111.5,132.0,91.0,111.5,132.0,91.0,0.0,0.0,0.0,1.5,3.0,0.0,1.5,3.0,0.0,34.0,34.0,34.0,24.5,34.0,15.0,24.5,34.0,15.0,False,11.920000000000002,11.92,11.92,17.12,22.32,11.92,17.12,22.32,11.92,-14.5,164.0,75.0,-0.30434782608695654,-0.125,-0.24390243902439024,-0.25333333333333335,0.47560975609756095,0.17682926829268292,-1.0,-0.6190476190476191,-0.16145833333333331,-0.31428571428571433
10.72,0,48.0,81.0,1.0,60.0,0,0,153,119,3,41,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,256.0,256.0,256.0,206.66666666666666,256.0,139.0,206.66666666666666,256.0,139.0,146.0,146.0,146.0,117.33333333333333,156.0,50.0,117.33333333333333,156.0,50.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,31.0,31.0,31.0,17.0,31.0,10.0,17.0,31.0,10.0,False,22.68,22.68,22.68,18.973333333333333,22.68,11.92,18.973333333333333,22.68,11.92,-1.0,140.0,115.0,0.1794871794871795,-0.07142857142857142,-0.07142857142857142,-0.41739130434782606,0.5714285714285714,0.3,0.2717391304347826,-0.32692307692307687,-0.04619565217391301,0.3162393162393161
11.78,1,44.5,57.0,14.0,,0,2,292,127,3,23,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.2,1.0,0.0,314.0,314.0,314.0,198.66666666666666,314.0,141.0,167.4,314.0,74.0,39.0,39.0,39.0,98.66666666666667,173.0,39.0,101.2,173.0,39.0,1.0,1.0,1.0,1.6666666666666667,2.0,1.0,1.6,2.0,1.0,17.0,17.0,17.0,16.0,17.0,14.0,14.4,17.0,9.0,False,10.719999999999999,10.72,10.72,15.106666666666667,22.68,10.72,16.91,22.68,10.72,-3.0,145.0,108.0,0.043478260869565216,-0.21052631578947367,-0.296551724137931,-0.3425925925925926,0.47586206896551725,0.2689655172413793,7.625000000000001,7.866666666666667,0.1712962962962962,0.013333333333333376
10.46,0,49.5,69.0,7.0,68.0,0,0,159,51,4,23,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.8,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,1.4,4.0,0.0,198.0,198.0,198.0,172.33333333333334,198.0,146.0,206.0,293.0,146.0,117.0,117.0,117.0,91.66666666666667,117.0,47.0,82.8,117.0,47.0,3.0,3.0,3.0,5.0,9.0,3.0,4.0,9.0,2.0,20.0,20.0,20.0,21.666666666666668,35.0,10.0,21.0,35.0,10.0,False,11.78,11.78,11.78,15.06,22.68,10.72,15.884,22.68,10.72,1.5,147.0,84.0,-0.4827586206896552,-0.7407407407407407,-0.1836734693877551,-0.34523809523809523,0.4421768707482993,0.21768707482993196,-0.5538461538461539,0.10204081632653061,0.5466666666666665,0.05194805194805195
13.3,1,45.0,52.0,16.0,,0,0,240,122,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,0.0,2.0,2.0,2.0,1.3333333333333333,2.0,0.0,1.2,2.0,0.0,295.0,295.0,295.0,235.33333333333334,295.0,191.0,211.4,295.0,114.0,84.0,84.0,84.0,111.0,155.0,84.0,103.2,155.0,63.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,1.0,2.0,0.0,28.0,28.0,28.0,26.0,29.0,21.0,20.4,29.0,10.0,False,10.460000000000003,10.46,10.46,10.986666666666666,11.78,10.46,13.512,22.68,10.46,-5.5,161.0,139.0,0.5263157894736842,-0.10526315789473684,-0.40993788819875776,-0.4316546762589928,0.42857142857142855,0.3167701863354037,-0.39162561576354676,-0.022058823529411756,0.4413793103448276,0.11764705882352945
23.06,0,43.5,44.0,13.0,,2,1,224,68,1,14,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.6,2.0,0.0,4.0,4.0,4.0,1.6666666666666667,4.0,0.0,1.0,4.0,0.0,356.0,356.0,356.0,266.6666666666667,356.0,187.0,285.4,371.0,187.0,58.0,58.0,58.0,114.66666666666667,165.0,58.0,104.0,165.0,58.0,3.0,3.0,3.0,1.6666666666666667,3.0,0.0,1.8,4.0,0.0,17.0,17.0,17.0,21.666666666666668,28.0,17.0,21.8,28.0,17.0,False,13.300000000000004,13.3,13.3,11.84666666666667,13.3,10.46,13.788,22.68,10.46,-4.0,261.0,118.0,-0.1,-0.25,-0.2567049808429119,-0.4067796610169492,0.4674329501915709,0.20306513409961685,-1.0,-0.6,0.28205128205128205,0.5999999999999999
26.3,0,45.0,50.0,8.0,86.0,0,0,350,103,0,39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,2.0,1.0,248.0,248.0,248.0,270.0,305.0,248.0,269.4,305.0,248.0,54.0,54.0,54.0,49.333333333333336,64.0,30.0,57.4,70.0,30.0,4.0,4.0,4.0,2.3333333333333335,4.0,1.0,2.8,6.0,1.0,21.0,21.0,21.0,21.0,22.0,20.0,18.0,22.0,10.0,True,23.06,23.06,23.06,15.60666666666667,23.06,10.46,13.863999999999999,23.06,10.46,4.5,196.0,272.0,-0.6857142857142857,-0.37037037037037035,-0.3163265306122449,-0.2647058823529412,0.45918367346938777,0.5867346938775511,-0.2929292929292928,-0.5462184873949579,0.5909090909090909,0.03580562659846543
15.24,1,50.0,37.0,6.0,,0,0,186,168,1,31,2.0,2.0,2.0,1.0,2.0,0.0,0.8,2.0,0.0,3.0,3.0,3.0,1.3333333333333333,3.0,0.0,1.2,3.0,0.0,292.0,292.0,292.0,237.0,292.0,201.0,222.6,292.0,156.0,72.0,72.0,72.0,125.0,195.0,72.0,120.2,195.0,72.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6,3.0,1.0,17.0,17.0,17.0,20.0,26.0,17.0,18.6,26.0,9.0,False,26.3,26.3,26.3,20.886666666666667,26.3,13.3,16.979999999999997,26.3,10.46,-4.5,263.0,152.0,-0.22727272727272727,-0.4888888888888889,-0.3650190114068441,-0.35526315789473684,0.34600760456273766,0.2623574144486692,-0.18266253869969035,-0.5553359683794465,0.10924369747899168,0.49616368286445006
29.74,0,50.5,72.0,0.0,,0,0,341,109,1,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,147.0,147.0,147.0,209.66666666666666,336.0,146.0,212.0,336.0,146.0,134.0,134.0,134.0,131.0,149.0,110.0,128.0,167.0,80.0,2.0,2.0,2.0,1.3333333333333333,2.0,1.0,2.6,7.0,1.0,35.0,35.0,35.0,24.0,35.0,14.0,25.0,35.0,14.0,False,15.239999999999998,15.24,15.24,21.533333333333335,26.3,15.24,17.671999999999997,26.3,10.46,-7.5,135.0,65.0,-0.2413793103448276,-0.16,-0.4074074074074074,-0.4307692307692308,0.31851851851851853,0.17777777777777778,0.08893280632411064,-0.2857142857142858,-0.340909090909091,0.08225108225108219
