week,date,home,opp,fantpt,played,favorite,spread_favorite,over_under_line,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
1,9/12/10,1,CIN,22.32,1,1,-5.5,45,63,10,,
2,9/19/10,0,NYJ,11.92,1,1,-3,39.5,82,6,36,
3,9/26/10,1,BUF,22.68,1,1,-14.5,43,68,11,,
4,10/4/10,0,MIA,10.72,1,1,-1,48,81,1,60,
6,10/17/10,1,BAL,11.78,1,1,-3,44.5,57,14,,
7,10/24/10,0,SDG,10.46,1,0,-1.5,49.5,69,7,68,
8,10/31/10,1,MIN,13.3,1,1,-5.5,45,52,16,,
9,11/7/10,0,CLE,23.06,1,1,-4,43.5,44,13,,
10,11/14/10,0,PIT,26.3,1,0,-4.5,45,50,8,86,Rain
11,11/21/10,1,IND,15.24,1,1,-4.5,50,37,6,,
12,11/25/10,0,DET,29.74,1,1,-7.5,50.5,72,0,,DOME
13,12/6/10,1,NYJ,29.34,1,1,-4,44.5,28,16,,
14,12/12/10,0,CHI,22.76,1,1,-3,37,27,3,81,Snow
15,12/19/10,1,GNB,14.52,1,1,-14.5,43.5,32,8,,
16,12/26/10,0,BUF,18.9,1,1,-9,45.5,22,1,69,Snow
17,1/2/11,1,MIA,15.96,1,1,-6,44,47,5,91,Fog
1,9/12/11,0,MIA,34.98,1,1,-7.5,47,82,1,73,
2,9/18/11,1,SDG,29.22,1,1,-7,53.5,63,12,,
3,9/25/11,0,BUF,23.98,1,1,-7.5,54.5,81,8,60,
4,10/2/11,0,OAK,16.94,1,1,-6.5,55.5,71,6,50,
5,10/9/11,1,NYJ,15.14,1,1,-7.5,50,84,9,40,
6,10/16/11,1,DAL,17.26,1,1,-7,54.5,63,8,,
8,10/30/11,0,PIT,15.92,1,1,-3,52,40,3,79,
9,11/6/11,1,NYG,16.18,1,1,-9,51,54,9,,
10,11/13/11,0,NYJ,25.36,1,0,-2.5,47,58,1,37,
11,11/21/11,1,KAN,16.36,1,1,-17,47,30,2,,
12,11/27/11,0,PHI,29.24,1,1,-3.5,50.5,63,1,56,
13,12/4/11,1,IND,20.26,1,1,-20.5,48.5,54,10,,
14,12/11/11,0,WAS,25.08,1,1,-7.5,47,40,0,33,
15,12/18/11,0,DEN,27,1,1,-7.5,47.5,63,3,16,
16,12/24/11,1,MIA,29.86,1,1,-7.5,49.5,32,7,,
17,1/1/12,1,BUF,23.52,1,1,-10,50,54,5,,
1,9/9/12,0,TEN,17.54,1,1,-6.5,48,77,4,45,
2,9/16/12,1,ARI,14.54,1,1,-13.5,47,71,2,55,
3,9/23/12,0,BAL,18.1,1,0,-3,48,67,5,39,
4,9/30/12,0,BUF,32,1,1,-4.5,48.5,61,7,72,
5,10/7/12,1,DEN,18.72,1,1,-6,51.5,54,4,65,
6,10/14/12,0,SEA,19.8,1,1,-4,42.5,63,9,80,Rain
7,10/21/12,1,NYJ,18.36,1,1,-10.5,47,62,5,39,
8,10/28/12,0,STL,28.46,1,1,-7,46,49,9,,Rain
10,11/11/12,1,BUF,17.38,1,1,-13.5,54,64,8,55,
11,11/18/12,1,IND,25.24,1,1,-10,55,42,1,62,
12,11/22/12,0,NYJ,31.42,1,1,-7,48.5,46,2,72,
13,12/2/12,0,MIA,11.42,1,1,-9,51.5,78,13,66,
14,12/10/12,1,HOU,28.44,1,1,-5.5,51,59,7,91,
15,12/16/12,1,SFO,24.82,1,1,-5,47.5,37,5,100,Fog
16,12/23/12,0,JAX,14.68,1,1,-14.5,51,60,0,,
17,12/30/12,1,MIA,19.36,1,1,-10,46.5,28,13,45,
