team,date,fumbles_forced,interceptions,pass_yards_allowed,rush_yards_allowed,sacks,points_allowed
NWE,9/12/10,1,1,345,87,1,24
NWE,9/19/10,0,0,220,136,3,28
NWE,9/26/10,0,2,247,134,1,30
NWE,10/4/10,0,4,320,92,2,14
NWE,10/17/10,0,0,285,99,3,20
NWE,10/24/10,3,1,336,38,2,20
NWE,10/31/10,0,1,295,125,1,18
NWE,11/7/10,1,0,174,230,0,34
NWE,11/14/10,0,1,387,76,5,26
NWE,11/21/10,0,3,396,71,0,28
NWE,11/25/10,0,2,285,129,2,24
NWE,12/6/10,0,3,164,152,1,3
NWE,12/12/10,2,2,152,47,2,7
NWE,12/19/10,1,1,251,143,5,27
NWE,12/26/10,4,3,251,125,3,3
NWE,1/2/10,1,1,240,44,5,7
NWE,1/16/10,0,0,194,120,0,28
SDG,9/13/10,0,0,68,135,1,21
SDG,9/19/10,2,4,293,71,2,13
SDG,9/26/10,1,1,220,68,3,27
SDG,10/3/10,1,2,146,47,9,10
SDG,10/10/10,0,0,173,111,3,35
SDG,10/17/10,0,0,198,117,3,20
SDG,10/24/10,0,0,159,51,4,23
SDG,10/31/10,0,0,305,65,0,25
SDG,11/7/10,0,1,267,140,2,23
SDG,11/22/10,0,1,217,63,5,14
SDG,11/28/10,1,4,285,24,1,14
SDG,12/5/10,1,0,117,251,1,28
SDG,12/12/10,0,0,48,48,4,0
SDG,12/16/10,0,1,165,61,6,7
SDG,12/26/10,1,0,269,102,0,34
SDG,1/2/10,0,2,205,146,3,28
PHI,9/12/10,0,2,188,132,3,27
PHI,9/19/10,0,2,335,115,2,32
PHI,9/26/10,0,1,105,139,7,3
PHI,10/3/10,0,1,125,169,1,17
PHI,10/10/10,3,2,309,74,2,24
PHI,10/17/10,1,1,250,65,3,17
PHI,10/24/10,1,2,276,75,3,37
PHI,11/7/10,0,2,294,62,3,24
PHI,11/15/10,0,3,295,105,2,28
PHI,11/21/10,2,3,147,61,0,17
PHI,11/28/10,0,0,247,131,4,31
PHI,12/2/10,1,1,337,108,2,24
PHI,12/12/10,0,2,242,110,1,27
PHI,12/19/10,1,1,289,100,2,31
PHI,12/28/10,1,0,195,161,2,24
PHI,1/2/10,1,0,127,159,2,14
PHI,1/9/10,2,0,180,138,2,21
IND,9/12/10,0,1,107,257,2,34
IND,9/19/10,2,1,161,120,4,14
IND,9/26/10,1,1,476,47,1,13
IND,10/3/10,0,0,163,174,0,31
IND,10/10/10,1,0,156,113,1,9
IND,10/17/10,0,2,246,113,3,24
IND,11/1/10,1,1,201,108,3,17
IND,11/7/10,0,0,218,195,3,26
IND,11/14/10,2,3,292,72,3,17
IND,11/21/10,0,0,186,168,1,31
IND,11/28/10,0,0,185,129,2,36
IND,12/5/10,0,0,167,217,2,38
IND,12/9/10,2,0,244,121,0,28
IND,12/19/10,1,1,294,67,1,24
IND,12/26/10,0,0,231,80,3,26
IND,1/2/10,1,0,300,51,1,20
IND,1/8/10,0,1,189,169,1,17
ATL,9/12/10,0,1,236,143,3,15
ATL,9/19/10,0,3,164,118,2,7
ATL,9/26/10,1,2,365,43,2,24
ATL,10/3/10,1,2,188,81,1,14
ATL,10/10/10,1,2,246,48,3,10
ATL,10/17/10,0,1,326,154,1,31
