G#,Date,Tm,home/away,Opp,Result,Pos,FantPt,played
1,9/12/10,PHI,,GNB,L 20-27,RB,14.2,1
2,9/19/10,PHI,@,DET,W 35-32,RB,30.8,1
3,9/26/10,PHI,@,JAX,W 28-3,RB,6.1,1
4,10/3/10,PHI,,WAS,L 12-17,RB,15.4,1
5,10/10/10,PHI,@,SFO,W 27-24,RB,19.8,1
6,10/17/10,PHI,,ATL,W 31-17,RB,8.5,1
7,10/24/10,PHI,@,TEN,L 19-37,RB,10.2,1
9,11/7/10,PHI,,IND,W 26-24,RB,10.3,1
10,11/15/10,PHI,@,WAS,W 59-28,RB,15.4,1
11,11/21/10,PHI,,NYG,W 27-17,RB,20,1
12,11/28/10,PHI,@,CHI,L 26-31,RB,12,1
13,12/2/10,PHI,,HOU,W 34-24,RB,25,1
14,12/12/10,PHI,@,DAL,W 30-27,RB,15.3,1
15,12/19/10,PHI,@,NYG,W 38-31,RB,7.7,1
16,12/28/10,PHI,,MIN,L 14-24,RB,8.5,1
17,1/2/11,PHI,,DAL,,RB,0,0
1,9/11/11,PHI,@,STL,W 31-13,RB,25.7,1
2,9/18/11,PHI,@,ATL,L 31-35,RB,23.6,1
3,9/25/11,PHI,,NYG,L 16-29,RB,20.1,1
4,10/2/11,PHI,,SFO,L 23-24,RB,11.2,1
5,10/9/11,PHI,@,BUF,L 24-31,RB,16.7,1
6,10/16/11,PHI,@,WAS,W 20-13,RB,19.9,1
8,10/30/11,PHI,,DAL,W 34-7,RB,32,1
9,11/7/11,PHI,,CHI,L 24-30,RB,17.7,1
10,11/13/11,PHI,,ARI,L 17-21,RB,15.3,1
11,11/20/11,PHI,@,NYG,W 17-10,RB,11.5,1
12,11/27/11,PHI,,NWE,L 20-38,RB,12.1,1
13,12/1/11,PHI,@,SEA,L 14-31,RB,25.3,1
14,12/11/11,PHI,@,MIA,W 26-10,RB,19.1,1
15,12/18/11,PHI,,NYJ,W 45-19,RB,25.7,1
16,12/24/11,PHI,@,DAL,W 20-7,RB,4.5,1
17,1/1/11,PHI,,WAS,,RB,0,0
1,9/9/12,PHI,@,CLE,W 17-16,RB,11.6,1
2,9/16/12,PHI,,BAL,W 24-23,RB,12.9,1
3,9/23/12,PHI,@,ARI,L 6-27,RB,7.8,1
4,9/30/12,PHI,,NYG,W 19-17,RB,14,1
5,10/7/12,PHI,@,PIT,L 14-16,RB,14,1
6,10/14/12,PHI,,DET,L 23-26,RB,10.8,1
8,10/28/12,PHI,,ATL,L 17-30,RB,18.7,1
9,11/5/12,PHI,@,NOR,L 13-28,RB,13.3,1
10,11/11/12,PHI,,DAL,L 23-38,RB,10.2,1
11,11/18/12,PHI,@,WAS,L 6-31,RB,9.2,1
12,11/26/12,PHI,,CAR,,RB,0,0
13,12/2/12,PHI,@,DAL,,RB,0,0
14,12/9/12,PHI,@,TAM,,RB,0,0
15,12/13/12,PHI,,CIN,,RB,0,0
16,12/23/12,PHI,,WAS,L 20-27,RB,12.2,1
17,12/30/12,PHI,@,NYG,L 7-42,RB,10.6,1
